ENSEMBLE,REAL,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
iter-1,2,-0.894188,-0.694939,-0.546575,-3.0467,-0.317349,-1.77955,-3.33286,-8.83391,0.28407,0.000898054,0.481561,0.016613,0.000464668,1.46584e-09,1,1705.19,-0.894188,-0.694939,0.28407,0.000898054,0.481561,0.016613,0.000464668,1.46584e-09,1,1705.19
iter-1,6,-0.979539,-0.31451,-1.4569,-3.08024,-0.11764,-1.36473,-2.89809,-9.64532,0.0349221,0.000831303,0.76271,0.0431791,0.00126446,2.26299e-10,1,1706.78,-0.979539,-0.31451,0.0349221,0.000831303,0.76271,0.0431791,0.00126446,2.26299e-10,1,1706.78
iter-1,0,0.566625,-0.384552,-0.0384678,-1.63268,-0.00329392,-1.43919,-3.66304,-7.71767,0.915234,0.0232982,0.992444,0.0363757,0.00021725,1.91569e-08,1,1702.81,0.566625,-0.384552,0.915234,0.0232982,0.992444,0.0363757,0.00021725,1.91569e-08,1,1702.81
iter-1,8,-0.96393,-0.994827,-1.24257,-0.983559,-0.13932,-4.2315,-4.03763,-4.99249,0.0572039,0.103858,0.725572,5.86809e-05,9.16997e-05,1.01745e-05,1,1709.31,-0.96393,-0.994827,0.0572039,0.103858,0.725572,5.86809e-05,9.16997e-05,1.01745e-05,1,1709.31
iter-1,3,-0.689038,-0.384862,-0.0770195,-3.25899,-0.265949,-2.0437,-3.54835,-8.28806,0.837492,0.000550815,0.542064,0.00904276,0.000282913,5.15161e-09,1,1702.67,-0.689038,-0.384862,0.837492,0.000550815,0.542064,0.00904276,0.000282913,5.15161e-09,1,1702.67
iter-1,7,-0.778092,-0.750882,-0.26112,-2.90377,-0.430481,-2.30533,-3.67079,-8.3894,0.548125,0.00124804,0.371124,0.00495072,0.000213408,4.07942e-09,1,1705.45,-0.778092,-0.750882,0.548125,0.00124804,0.371124,0.00495072,0.000213408,4.07942e-09,1,1705.45
iter-1,4,-0.679879,-0.622526,-0.494239,-2.65539,-0.0751166,-1.8029,-3.53517,-7.64117,0.320451,0.00221108,0.841169,0.0157433,0.000291628,2.28472e-08,1,1703.78,-0.679879,-0.622526,0.320451,0.00221108,0.841169,0.0157433,0.000291628,2.28472e-08,1,1703.78
iter-1,1,-0.381092,-0.552465,-1.21841,-1.33027,-0.00178452,-1.05699,-3.30822,-8.20121,0.0604769,0.0467441,0.995899,0.0877023,0.000491791,6.29196e-09,1,1705.95,-0.381092,-0.552465,0.0604769,0.0467441,0.995899,0.0877023,0.000491791,6.29196e-09,1,1705.95
iter-1,9,-0.804256,-0.876162,-0.670197,-1.49352,-0.014517,-2.36931,-3.4882,-7.42381,0.213699,0.0320985,0.967126,0.00427262,0.000324936,3.7687e-08,1,1706.26,-0.804256,-0.876162,0.213699,0.0320985,0.967126,0.00427262,0.000324936,3.7687e-08,1,1706.26
iter-1,5,-0.730371,-0.809214,-0.16975,-2.55559,-0.191289,-2.91566,-3.84053,-6.07493,0.676473,0.00278235,0.64374,0.00121433,0.000144366,8.41531e-07,1,1703.21,-0.730371,-0.809214,0.676473,0.00278235,0.64374,0.00121433,0.000144366,8.41531e-07,1,1703.21
iter-2,0,-0.719257,-0.652155,-0.223454,-2.68226,-0.0978239,-2.30853,-3.6453,-6.66765,0.597787,0.00207846,0.798318,0.00491436,0.000226309,2.14958e-07,1,1702.63,-0.719257,-0.652155,0.597787,0.00207846,0.798318,0.00491436,0.000226309,2.14958e-07,1,1702.63
iter-2,6,-0.712211,-0.699838,-0.210641,-2.54384,-0.0857569,-2.4202,-3.67826,-6.4329,0.615686,0.00285863,0.820811,0.00380011,0.000209768,3.69065e-07,1,1702.81,-0.712211,-0.699838,0.615686,0.00285863,0.820811,0.00380011,0.000209768,3.69065e-07,1,1702.81
iter-2,4,-0.608847,-0.687952,-0.120307,-2.56872,-0.0897095,-2.52539,-3.75398,-6.0934,0.758041,0.0026995,0.813374,0.00298274,0.000176204,8.06489e-07,1,1702.24,-0.608847,-0.687952,0.758041,0.0026995,0.813374,0.00298274,0.000176204,8.06489e-07,1,1702.24
iter-2,2,-0.619754,-0.700281,-0.17472,-2.35327,-0.0558629,-2.42706,-3.70113,-6.36851,0.668775,0.00443336,0.8793,0.00374058,0.000199009,4.28043e-07,1,1702.88,-0.619754,-0.700281,0.668775,0.00443336,0.8793,0.00374058,0.000199009,4.28043e-07,1,1702.88
iter-2,5,-0.674206,-0.720486,-0.157877,-2.51238,-0.089919,-2.58102,-3.74581,-6.09718,0.695221,0.0030734,0.812982,0.00262409,0.000179553,7.99508e-07,1,1702.61,-0.674206,-0.720486,0.695221,0.0030734,0.812982,0.00262409,0.000179553,7.99508e-07,1,1702.61
iter-2,7,-0.607673,-0.680233,-0.178426,-2.37285,-0.052154,-2.32645,-3.67087,-6.44582,0.663092,0.00423794,0.886841,0.00471569,0.00021337,3.58244e-07,1,1702.72,-0.607673,-0.680233,0.663092,0.00423794,0.886841,0.00471569,0.00021337,3.58244e-07,1,1702.72
iter-2,9,-0.665712,-0.744768,-0.132727,-2.43352,-0.0765611,-2.6775,-3.75453,-5.98106,0.736671,0.0036854,0.838376,0.00210136,0.000175982,1.04457e-06,1,1702.61,-0.665712,-0.744768,0.736671,0.0036854,0.838376,0.00210136,0.000175982,1.04457e-06,1,1702.61
iter-2,3,-0.683935,-0.716484,-0.120804,-2.53546,-0.0899672,-2.63735,-3.73734,-6.06704,0.757175,0.00291432,0.812892,0.0023049,0.000183089,8.56961e-07,1,1702.39,-0.683935,-0.716484,0.757175,0.00291432,0.812892,0.0023049,0.000183089,8.56961e-07,1,1702.39
iter-2,1,-0.73154,-0.688101,-0.151867,-2.77293,-0.152339,-2.48324,-3.69283,-6.6412,0.704909,0.00168684,0.704144,0.00328669,0.000202847,2.28457e-07,1,1702.65,-0.73154,-0.688101,0.704909,0.00168684,0.704144,0.00328669,0.000202847,2.28457e-07,1,1702.65
iter-2,8,-0.574942,-0.696017,-0.149755,-2.39111,-0.0614995,-2.54991,-3.77254,-5.89196,0.708345,0.00406339,0.867962,0.00281899,0.000168835,1.28244e-06,1,1702.39,-0.574942,-0.696017,0.708345,0.00406339,0.867962,0.00281899,0.000168835,1.28244e-06,1,1702.39
iter-3,7,-0.736997,-0.715663,-0.133644,-2.71861,-0.135911,-2.60226,-3.70969,-6.38243,0.735116,0.00191159,0.731289,0.00249886,0.000195124,4.14545e-07,1,1702.5,-0.736997,-0.715663,0.735116,0.00191159,0.731289,0.00249886,0.000195124,4.14545e-07,1,1702.5
iter-3,8,-0.738467,-0.710119,-0.135015,-2.76228,-0.148632,-2.5863,-3.71045,-6.43211,0.732799,0.0017287,0.710179,0.00259241,0.000194782,3.69734e-07,1,1702.49,-0.738467,-0.710119,0.732799,0.0017287,0.710179,0.00259241,0.000194782,3.69734e-07,1,1702.49
iter-3,1,-0.758654,-0.709822,-0.143468,-2.78705,-0.154908,-2.57663,-3.69787,-6.47112,0.718675,0.00163288,0.69999,0.00265076,0.000200509,3.37974e-07,1,1702.52,-0.758654,-0.709822,0.718675,0.00163288,0.69999,0.00265076,0.000200509,3.37974e-07,1,1702.52
iter-3,2,-0.75105,-0.702798,-0.151069,-2.75707,-0.1391,-2.53032,-3.68154,-6.55284,0.706205,0.00174957,0.725938,0.00294901,0.000208188,2.80001e-07,1,1702.57,-0.75105,-0.702798,0.706205,0.00174957,0.725938,0.00294901,0.000208188,2.80001e-07,1,1702.57
iter-3,6,-0.762742,-0.710036,-0.146882,-2.80479,-0.160463,-2.59951,-3.70738,-6.41989,0.713047,0.00156749,0.691094,0.0025147,0.000196163,3.80283e-07,1,1702.48,-0.762742,-0.710036,0.713047,0.00156749,0.691094,0.0025147,0.000196163,3.80283e-07,1,1702.48
iter-3,9,-0.743173,-0.708857,-0.148077,-2.73159,-0.135008,-2.55131,-3.69327,-6.47759,0.711088,0.0018553,0.732811,0.0028099,0.000202644,3.32971e-07,1,1702.56,-0.743173,-0.708857,0.711088,0.0018553,0.732811,0.0028099,0.000202644,3.32971e-07,1,1702.56
iter-3,3,-0.748693,-0.70906,-0.143658,-2.75734,-0.142533,-2.57406,-3.70043,-6.42123,0.71836,0.00174847,0.720223,0.0026665,0.000199327,3.79117e-07,1,1702.48,-0.748693,-0.70906,0.71836,0.00174847,0.720223,0.0026665,0.000199327,3.79117e-07,1,1702.48
iter-3,4,-0.749293,-0.709598,-0.150005,-2.76039,-0.145725,-2.56562,-3.70093,-6.45419,0.707938,0.00173626,0.714949,0.00271884,0.000199099,3.5141e-07,1,1702.54,-0.749293,-0.709598,0.707938,0.00173626,0.714949,0.00271884,0.000199099,3.5141e-07,1,1702.54
iter-3,5,-0.751624,-0.705242,-0.149443,-2.76063,-0.143452,-2.53501,-3.68576,-6.5355,0.708855,0.00173527,0.718701,0.00291739,0.000206178,2.91404e-07,1,1702.57,-0.751624,-0.705242,0.708855,0.00173527,0.718701,0.00291739,0.000206178,2.91404e-07,1,1702.57
iter-3,0,-0.75035,-0.710765,-0.140297,-2.7514,-0.141959,-2.57859,-3.69631,-6.45943,0.72394,0.00177255,0.721175,0.00263885,0.000201228,3.47189e-07,1,1702.52,-0.75035,-0.710765,0.72394,0.00177255,0.721175,0.00263885,0.000201228,3.47189e-07,1,1702.52
